word,length,entropy
ab,2,1.0
abandonnere,11,2.663532754804255
abandonnering,13,2.931208948910323
abbed,5,1.9219280948873623
abbedi,6,2.2516291673878226
abbedisse,9,2.503258334775646
ABC,3,1.584962500721156
abc,3,1.584962500721156
abdicere,8,2.75
abdicering,10,3.121928094887362
abdikation,10,2.9219280948873623
abefest,7,2.5216406363433186
abekat,6,2.2516291673878226
abekattestreg,13,2.8150724101159437
abemenneske,11,2.5503407095463886
aberration,10,2.9219280948873623
abessiner,9,2.725480556997868
Abessinien,10,2.5219280948873624
abessinier,10,2.721928094887362
abessinsk,9,2.6416041678685933
abetræ,6,2.584962500721156
abkhaser,8,2.75
Abkhasien,9,3.169925001442312
abkhasisk,9,2.5032583347756456
ablativ,7,2.5216406363433186
abnorm,6,2.584962500721156
abnormitet,10,3.1219280948873624
abonnement,10,2.6464393446710153
abonnent,8,2.4056390622295662
abonnere,8,2.5
abonnering,10,2.8464393446710154
abonnine,8,2.4056390622295662
aborigin,8,2.75
aboriginal,10,2.9219280948873623
aboriginer,10,2.921928094887362
aborre,6,2.251629167387823
abort,5,2.321928094887362
abortere,8,2.5
abortmodstander,15,3.2402239289418517
abracadabra,11,2.0403733936884962
abrikos,7,2.8073549220576046
abrupt,6,2.584962500721156
ABS,3,1.584962500721156
abs,3,1.584962500721156
absces,6,2.2516291673878226
abscisse,8,2.4056390622295662
abscisseakse,12,2.584962500721156
absence,7,2.5216406363433186
absentation,11,2.9139770731827523
absentere,9,2.6416041678685933
absentering,11,3.095795255000934
absint,6,2.584962500721156
absolution,10,3.121928094887362
absolutisme,11,3.2776134368191165
absolutist,10,2.9219280948873623
absolutistisk,13,3.0269868333592873
absorbere,9,2.503258334775646
absorbering,11,3.0957952550009344
absorption,10,3.121928094887362
abstinens,9,2.725480556997868
abstinenser,11,2.9139770731827523
abstinent,9,2.725480556997868
abstract,8,2.5
abstrahere,10,2.7219280948873625
abstrahering,12,3.2516291673878226
abstraktion,11,3.0957952550009344
absurd,6,2.584962500721156
absurdisme,10,3.121928094887362
absurdist,9,2.94770277922009
absurdistisk,12,3.0220552088742005
absurditet,10,3.1219280948873624
abyssinier,10,2.921928094887362
acaibær,7,2.5216406363433186
accelerando,11,2.9139770731827523
acceleration,12,3.084962500721156
accelerator,11,2.7321588913645707
accelerere,10,2.1219280948873624
accenttegn,10,2.5219280948873624
accentuation,12,2.918295834054489
accentuere,10,2.6464393446710153
accentuering,12,3.0849625007211556
accept,6,2.2516291673878226
acceptabel,10,2.721928094887362
acceptere,9,2.4193819456463714
acces,5,1.9219280948873623
accession,9,2.725480556997868
accessoires,11,2.663532754804255
accessories,11,2.663532754804255
accessorisk,11,2.845350936622437
acetat,6,1.9182958340544896
acetone,7,2.5216406363433186
acetyl,6,2.584962500721156
acetylen,8,2.75
acetylsalicylsyre,17,3.057476076289932
acidofilus,10,3.121928094887362
aconto,6,2.2516291673878226
acontobeløb,11,3.0957952550009344
Acorerne,8,2.5
action,6,2.584962500721156
actionfilm,10,3.121928094887362
AD,2,1.0
