Length;entropy
1;0,0
2;0,6772127626160396
3;1,0657891631262906
4;1,3379206454976826
5;1,5135097605972767
6;1,6605812732969234
7;1,7830467237633887
8;1,876889698308878
9;1,9507536859615116
10;2,0087219302366934
11;2,064997722081813
12;2,109777090362438
13;2,1603914683350123
14;2,196318516819565
15;2,23243959648838
16;2,2728772264704094
17;2,2913912265647087
18;2,303309444131855
19;2,3281311650227465
20;2,351888221611034
21;2,3593990265792235
22;2,389448557012289
23;2,350527737782011
24;2,306167655450765
25;2,383609257446122
26;2,333223883574746
27;2,4709318729300653
